"id","name","text","date"
"1","Сергей","Привет!
Это первое сообщение","2020-07-07 21:44:52"
"2","Иван","Это сообщение раз","2020-07-07 21:44:52"
"3","Петя","Это второе сообщение от Пети","2020-07-07 21:47:30"
"4","Петя","Это третье сообщение от Пети","2020-07-07 21:47:30"
"7","Пупкин","Привет!
Это Вася Пупкин","2020-07-07 21:49:15"
"8","Сидор","Проверка констант","2020-07-07 21:49:15"
"9","Джон Доу","Привет от Джона Доу!","2020-07-07 21:50:07"
"10","Хаккер","Это сообщение от хаккера 
<script>alert('ПРИВЕТ ОТ ХАККЕРА!:):):)')</script>!","2020-07-07 21:50:07"
"11","Guest","Hello world!
Привет мир!","2020-07-07 21:50:41"
"12","Ваня","Hello! Привет от Вани","2020-07-08 00:26:48"
